Code,Name,Description,IsCurrent,OutlineUrl
ICA002,Introduction to Computers and Applications,"In ICA002, students are introduced to use of computer systems, MS Access 2010 for databases in place of Concepts, and the following business applications: MS Word 2010 for word processing, MS PowerPoint 2010 for business presentations, and MS Excel 2010 for spreadsheets. Both courses will use Windows 7 to effectively operate a microcomputer, access various Seneca computer systems, prepare word documents, create business presentations, and develop spreadsheets. ",1,https://scs.senecac.on.ca/course/ica002
APC100,Applied Professional Communications,"This subject focuses on group work, team building, interpersonal communication, presentation skills, conflict and time management with applications to the computer industry. 
In this subject, you are developing the skills that will make you not only a greater asset to an employer, but a more confident and accomplished individual. APC100 will give you a thorough grounding in employability skills listed as essential by the Conference Board of Canada in our global, knowledge-based society of the 21st century. You will be introduced to the theoretical background, then given ample opportunity to develop your expertise in these communication, teamwork, personal management, presentation and thinking skills. You will both require and be further developing these skills in all the subjects of your programme.",1,https://scs.senecac.on.ca/course/apc100
ULI101,Introduction to Unix/Linux and the Internet,"Unix and Linux represent the operating system technology underlying many of the services of the Internet. This course introduces students to Unix, Linux and the Internet. Students will learn to navigate the World-Wide Web, transfer files, communicate with others via electronic mail, and create and maintain web pages using Extensible Hypertext Mark-up Language (XHTML). Students will do this work in the Linux environment, at the same time learning to configure their accounts, manipulate data stored in files, effectively use Unix and Linux commands and utilities, and maintain simple shell scripts.",1,https://scs.senecac.on.ca/course/uli101
IOS110,Introduction to Operating Systems Using Windows,"This course introduces the student to the most popular PC based operating system, Microsoft Windows. Using Windows, students will learn basic operating system concepts and functions, such as system architecture, process and memory management, scheduling, I/O, device drivers and file systems. Through lectures and hands-on labs, students will gain a general overview and understanding of Windows, both in a multi-user and single user environment. This experience will be deepened by the use of command line tools and system and shell programming to automate common tasks.",1,https://scs.senecac.on.ca/course/ios110
IPC144,Introduction to Programming Using C,"This first subject in computer programming emphasizes problem solving strategies using structured programming techniques. The C programming language is used to introduce problem analysis, algorithm design, and program implementation. The LINUX operating system is used.",1,https://scs.senecac.on.ca/course/ipc144
EAC150,College English,"College English is an introductory college writing and reading subject. Students entering this course will have competence in grammar, sentence structure, and paragraphing skills. Through a variety of assignments, successful students in College English develop the reading, writing, and analytical skills essential to them as communicators in college and upon graduation. This subject teaches writing through the critical reading of fiction and non-fiction.",1,https://scs.senecac.on.ca/course/eac150
DBS201,Introduction to Database Design and SQL,"This subject introduces students to relational database design and SQL (Structured Query Language) used with relational databases. Students will be introduced to a history of database management covering hierarchical, network, relational and object oriented models with a focus on the relational model and its operators. Students will be presented with a methodology for relational database design using Entity Relationship Diagrams and normalization of data. Students will be introduced to a subset of SQL using IBM's DB2 on the iSeries platform. An overview of the functions of the Database Management System (DBMS) and of a Database Administrator (DBA) will also be presented.",1,https://scs.senecac.on.ca/course/dbs201
INT222,Internet I - Internet Fundamentals,"The Internet has revolutionized modern life, including the way people shop, communicate, and even where and how they work. At the forefront of this revolution are the people writing the software that drives the World Wide Web. The goal of this course is to provide the student with key skills demanded in the fast-paced and exciting field of web development. The course will begin with an in-depth study of HTML, the universal language of the Web. This will be supplemented by coverage of HTML5, the next-generation languages of the Web. CSS will be studied as it relates to enhancing the presentation of websites. Client-side programming will be taught using JavaScript language used to create dynamic content and provide a true interactive experience for the Web site visitor. Throughout the course, emphasis will be placed on the development of professional, cross-browser websites.",1,https://scs.senecac.on.ca/course/int222
IBC233,iSERIES Business Computing,"IBC233 introduces commercial and business information technology on the IBM iSeries server. Students will work in an object based architecture using Client Access and IBM Rational Developer for System i to create business applications. These applications will be developed using the built in DB2 relational database, OS/400 commands and Control Language programming, RPGLE programming, interactive screens, and WebQuery or Query/400 data reporting. The Integrated File System, which provides Windows and UNIX file serving, along with desktop connectivity tools will be investigated to demonstrate the heterogeneous systems support available only on the iSeries platform.",1,https://scs.senecac.on.ca/course/ibc233
OOP244,Introduction to Object Oriented Programming,"This subject introduces students to object oriented programming concepts. Students will learn to build reusable objects, making use of encapsulation, polymorphism and inheritance in the C++ programming language. Throughout the subject, the emphasis will be on using object-oriented approaches to solving problems.",1,https://scs.senecac.on.ca/course/oop244
